master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61010,validation_006,1,A,False,0.0925,0.0075,0.9,0.007518796992481203
61010,validation_006,1,B,False,0.8775,0.02,0.1025,0.015037593984962405
61010,validation_007,0,A,False,0.2777777777777778,0.6666666666666666,0.05555555555555555,0.23529411764705882
61010,validation_007,0,B,False,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.17647058823529413
61010,validation_007,1,A,False,0.8725,0.0,0.1275,0.005012531328320802
61010,validation_007,1,B,False,0.055,0.0075,0.9375,0.020050125313283207
61010,validation_008,0,A,False,0.015,0.055,0.93,0.017543859649122806
61010,validation_008,0,B,False,0.0125,0.0325,0.955,0.007518796992481203
61010,validation_008,1,A,False,0.9075,0.01,0.0825,0.020050125313283207
61010,validation_008,1,B,False,0.88,0.02,0.1,0.02756892230576441
