master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61005,validation_006,0,B,success,0.6583815605580052,0.020664928268782648,0.0205769687891006,0.002762812376022301,0.04127028882503505,0.0379746835443038,0.3227848101265823,0.9620253164556962
61005,validation_006,1,A,truncated,0.9813932593166829,0.011724612414836853,0.0133090019226074,0.00574213862419122,0.0133090019226074,0.0075,0.185,1.0
61005,validation_006,1,B,truncated,1.7771295054753622,0.004594061076641024,0.0041521787643432,0.004077386856079061,0.004939246177673261,0.0475,0.955,1.0
61005,validation_007,0,A,success,0.7672912256542223,0.006211991433973391,0.0049798190593719,0.0008083283901214,0.01161283254623411,0.17532467532467533,0.8311688311688312,1.0
61005,validation_007,0,B,success,0.6587075553028099,0.02312102004305104,0.02278047800064085,0.0035633683204650203,0.045557329058647116,0.012987012987012988,0.2857142857142857,0.9285714285714286
61005,validation_007,1,A,truncated,0.9786521062254906,0.016811262369155845,0.0206578969955444,0.0033492863178252404,0.0206578969955444,0.0475,0.2225,1.0
61005,validation_007,1,B,truncated,1.7777061572670936,0.00478852957487103,0.004665732383728,0.0017175436019897202,0.004665732383728,0.085,0.96,1.0
61005,validation_008,0,A,success,0.8094583111149924,0.005111673900059239,0.004034399986267,0.0013094067573546902,0.01097251772880548,0.07142857142857142,0.8714285714285714,1.0
61005,validation_008,0,B,success,0.9542316836970193,0.03299467308180668,0.008357137441635049,0.00059552192687979,0.11272677183151239,0.11428571428571428,0.5571428571428572,0.7428571428571429
61005,validation_008,1,A,truncated,0.9857680116593838,0.01201124325394622,0.0137401819229125,0.0042264759540557115,0.0137401819229125,0.01,0.1775,1.0
61005,validation_008,1,B,truncated,1.7823079300920168,0.004279163777828202,0.0041813850402832,0.002666330337524371,0.0041813850402832,0.0625,0.9775,1.0
61006,validation_001,0,A,truncated,1.0109246857961018,0.002216045409440948,0.0007013082504272,0.0007013082504272,0.007248008251190163,0.8475,0.9325,1.0
61006,validation_001,0,B,truncated,0.984194068312645,0.0042338350415229145,0.0034824609756469,0.0034824609756469,0.005149972438812202,0.005,0.975,1.0
